Название,Адрес,Категории,Рейтинг,Отзывы,Часы работы,Широта,Долгота,ID
"Белес, чайхана","проспект Чуй, 291",,4.1,329.0,,42.877653,74.567701,70000001020410287
Империя,"улица Асаналиева, 2Б",,4.2,9951.0,,42.869532,74.568366,70000001019816144
"Тай Казан, чайхана","Московская улица, 266а/1",,4.4,61.0,,42.872467,74.564997,70000001033390754
"Mubarak, чайхана","Киевская улица, 206",,4.8,25166.0,,42.875506,74.580555,70000001101939803
"Алтын Кесе, кафе","улица Бейшеналиевой, 22/2",,3.2,84.0,,42.874658,74.571113,70000001020455436
Масахиро,"улица Токтогула, 236",,4.9,12139.0,,42.873134,74.577099,70000001084011650
"Данек, кафе","Киевская улица, 254",,4.0,82.0,,42.875676,74.570689,70000001089579032
"Манты №1, кафе","улица Кулиева, 22",,4.5,354.0,,42.878082,74.568301,70000001047372880
"Урмат, чайхана","улица Рыскулова, 106",,4.7,19.0,,42.879915,74.567892,70000001025745290
"Белек, кафе","улица Бейшеналиевой, 20/3",,2.3,50.0,,42.875238,74.570689,70000001025995310
"Дилбар, кафе","улица Кулиева, 29",,4.0,44.0,,42.87779,74.568744,70000001020410396
"Мейиз, столовая","улица Пушкина, 176",,5.0,13.0,,42.878405,74.570859,70000001105149562
"Манты №1, кафе","проспект Чуй, 226",,4.6,354.0,,42.877411,74.565558,70000001057604427
"Ширин, кафе","улица Бейшеналиевой, 20/3",,3.2,65.0,,42.874717,74.570351,70000001083419696
"Navat, чайхана","проспект Дэн Сяопина, 3",,4.7,43687.0,,42.878132,74.560062,70000001020282736
"Хан, чайкана","улица Кулиева, 24",,3.0,13.0,,42.878304,74.568392,70000001069497970
"Тандыр, кафе быстрого питания","улица Кулиева, 47",,3.7,15.0,,42.880285,74.568942,70000001031597365
"Тай Казан, банкетный зал","Московская улица, 266а/1",,4.4,14.0,,42.87252,74.564756,70000001022889548
"Хуа-Жэнь Эмигрант, кафе","бульвар Молодой Гвардии, 66а",,5.0,219.0,,42.878088,74.575142,70000001113370516
Ак Бата,"улица Павлова, 14/2",,3.6,35.0,,42.878219,74.566588,70000001020414578
"Садык, кафе","проспект Чуй, 202",,,,,42.876409,74.569606,70000001083026356
"Азиз, кафе","улица Токтогула, 232",,4.4,56.0,,42.87316,74.578311,70000001020065118
"Алмаз, кафе","Киевская улица, 260/2",,2.8,4.0,,42.875477,74.568633,70000001041500723
"Кебабчы Nuri Usta, кафе","улица Уметалиева, 35/1",,4.5,228.0,,42.871611,74.581273,70000001022403363
"Панда-Хого, кафе китайской кухни","проспект Чуй, 269",,4.7,5.0,,42.877423,74.577381,70000001101693282
"Раяна, кафе","Киевская улица, 260/2",,3.5,22.0,,42.875619,74.568649,70000001041455151
"Rodem Coffee & Bakery, кофейня с корейской кухней","улица Уметалиева, 109",,4.6,342.0,,42.878697,74.581808,70000001039936678
"Ташкент плов, кафе","улица Рыскулова, 105/2",,5.0,2.0,,42.880041,74.572332,70000001111705542
"Улуу Тоо, ресторан","проспект Жибек-Жолу, 595а",,4.4,1776.0,,42.884205,74.578612,70000001035321755
"Достук, столовая","Московская улица, 250",,4.3,6.0,,42.870875,74.572134,70000001087681537
"Анар, чайхана","улица Льва Толстого, 102/4",,4.7,701.0,,42.865541,74.582904,70000001053552692
"Ырыс Ордо №1, кафе","улица Бейшеналиевой, 49Б",,4.7,8.0,,42.879332,74.572288,70000001020415463
"Альянс, кафе","Киевская улица, 258",,,,,42.875933,74.568629,70000001104292588
"Тунук, кафе","проспект Дэн Сяопина, 2а",,3.9,10.0,,42.877667,74.56101,70000001025066643
"Шашлык City, кафе","проспект Жибек-Жолу, 438",,4.6,512.0,,42.883858,74.57881,70000001049252470
"Паназиат, чайхана","улица Уметалиева, 62",,4.2,170.0,,42.873745,74.580892,70000001021686987
"Атлас, чайхана","улица Кулиева, 32",,5.0,1.0,,42.879223,74.56843,70000001112779781
"Дом плова, кафе","Киевская улица, 200",,4.4,181.0,,42.875444,74.581694,70000001105122181
"Жаңгак, чайхана","проспект Жибек-Жолу, 589",,4.6,70.0,,42.884479,74.580056,70000001111224936
"Сере, кафе","бульвар Молодой Гвардии, 73",,3.7,55.0,,42.881133,74.576633,70000001019353495
"Navat, чайхана","улица Турусбекова, 100",,4.8,43687.0,,42.879025,74.58488,70000001035589608
Yun`s Kitchen,"улица Уметалиева, 81",,4.6,508.0,,42.873903,74.58142,70000001099790125
"Хилал, кафе","проспект Чуй, 273",,2.7,34.0,,42.877448,74.573679,70000001021869134
"Красный дом, кафе китайской кухни","улица Турусбекова, 49",,4.5,509.0,,42.874851,74.585027,70000001061781342
"Кыргызбайдын жаны самсасы, кафе","улица Асаналиева, 5/2",,2.3,106.0,,42.864973,74.569174,70000001020189150
"Чан Чунь, кафе китайской кухни","улица Токтогула, 230",,4.1,31.0,,42.873091,74.578697,70000001104484442
"Фаиза, кафе","проспект Жибек-Жолу, 555",,3.9,2158.0,,42.884257,74.58723,70000001019339201
Кафе,"улица Бейшеналиевой, 42",,2.9,10.0,,42.87667,74.571186,70000001082948896
"Oops, кафе","улица Турусбекова, 88/1 ст1",,4.3,31.0,,42.877939,74.584167,70000001041323398
"Nori, кафе фастфуда","улица Рыскулова, 115",,4.1,127.0,,42.880094,74.57116,70000001093660781
Ожак Кебап Гурме,"улица Калыка Акиева, 72/1",,4.5,464.0,,42.876817,74.577251,70000001089091972
"Zerno, ресторан","улица Турусбекова, 31",,4.6,1331.0,,42.869685,74.584377,70000001057692093
"Моря Oyster Bar, ресторан","улица Шевченко, 88/1",,4.7,197.0,,42.875357,74.582897,70000001029515093
"Vavilon, дом торжеств","проспект Жибек-Жолу, 402",,4.8,314.0,,42.883893,74.58529,70000001019362616
"Papuri, ресторан","улица Абдумомунова, 259а",,4.8,1270.0,,42.88062,74.590202,70000001057377475
"DuЭт coffee&restaurant, ресторан турецкой кухни","проспект Манаса, 40",,4.5,282.0,,42.875454,74.587431,70000001036923162
"Iwa, ресторан","Киевская улица, 148",,4.1,193.0,,42.874679,74.59094,70000001042571832
"Тумар, банкетный зал","улица Юлиуса Фучика, 7/1",,4.4,126.0,,42.881655,74.557659,70000001031576474
Gandhi Restaurant,"улица Насирдина Исанова, 41",,4.8,292.0,,42.871865,74.591448,70000001038379967
"Дунуйо, ресто-чайхана","улица Асаналиева, 24",,4.6,25.0,,42.863859,74.569664,70000001111842881
"Qant, ресторан","улица Тоголок Молдо, 3а",,4.6,415.0,,42.872626,74.596573,70000001102624401
"Archa, ресторан","проспект Манаса, 16",,4.3,53.0,,42.869296,74.587317,70000001054165408
"Винтаж, винное место","улица Насирдина Исанова, 102",,4.7,786.0,,42.878568,74.591697,70000001041495700
"Пишпек, ресторан","улица Тоголок Молдо, 17/1а",,4.5,370.0,,42.878569,74.597988,70000001034979689
"Улуу Тоо, чайхана","переулок Тимирязева, 2-4",,4.8,1776.0,,42.884444,74.579065,70000001080162587
"Barhat, ресто-чайхана","улица Орозбекова, 62",,4.4,1538.0,,42.873353,74.602352,70000001097837047
"Bermet palace, банкетный зал","улица Матыева, 260/1",,4.4,132.0,,42.862238,74.573928,70000001033769487
Masa,"улица Тоголок Молдо, 3а",,4.2,1762.0,,42.872899,74.59597,70000001060063297
"Chinatown, ресторан","улица Орозбекова, 60",,4.4,428.0,,42.872797,74.602168,70000001019355911
"Циклон, ресторан","проспект Чуй, 136",,4.5,259.0,,42.875913,74.595542,70000001035157143
"Saltanat palace, банкетный зал","улица Матыева, 260",,4.6,53.0,,42.861964,74.574168,70000001020189055
"Maarek, ресторан","улица Исхака Раззакова, 19",,4.7,343.0,,42.868562,74.604177,70000001104039407
"Tchaikovsky, ресторан","улица Токтогула, 126/1",,4.8,150.0,,42.872164,74.599239,70000001067303216
"Sonoon, ресторан национальной кухни","улица Орозбекова, 62",,4.7,850.0,,42.873031,74.602326,70000001099786048
Frunze Restaurant,"улица Абдумомунова, 220а",,4.7,286.0,,42.878886,74.606941,70000001022883897
"Гүлазык, банкетный зал","улица Леваневского, 33",,4.5,92.0,,42.860354,74.566913,70000001039039694
"Navigator, ресторан","Московская улица, 103",,4.0,344.0,,42.869821,74.604387,70000001019353636
"Times Bar, ресто-бар","улица Орозбекова, 32",,4.6,313.0,,42.868981,74.602151,70000001019355816
"Asahi, суши-бар","улица Кулатова, 61",,4.8,493.0,,42.860449,74.597209,70000001088724707
"Улуу Кыргызстан, чайхана","улица Махатмы Ганди, 181/1",,4.5,40.0,,42.896136,74.57505,70000001112340259
Сары-Өзөн,"улица Гагарина, 81",,4.6,31.0,,42.85192,74.563752,70000001020197154
"Бублик, кофейня","улица Токтогула, 234",,4.4,4001.0,,42.873119,74.577987,70000001092763101
"Loaf, кофейня","улица Жоомарта Боконбаева, 222",,4.6,90.0,,42.867971,74.577176,70000001102579369
"Бублик, кофейня","улица Уметалиева, 74",,4.5,4001.0,,42.874792,74.580835,70000001089176671
Макаронная,"улица Жоомарта Боконбаева, 183",,4.6,1326.0,,42.868023,74.58427,70000001065509002
"Boris Coffee & Bakery, кофейня","улица Токтогула, 236",,3.2,430.0,,42.873158,74.577173,70000001080328303
"Parmesun Coffee, кофейня","улица Калыка Акиева, 95",,4.8,65.0,,42.878687,74.578295,70000001101736856
"Giraffe Coffee, кофейня","Московская улица, 208",,4.4,3142.0,,42.87052,74.57889,70000001050230659
"Capito, кофейня","улица Турусбекова, 100",,4.6,11464.0,,42.878879,74.584865,70000001064541883
"Tamara coffee & bakery, кофейня","улица Фрунзе, 587",,4.6,310.0,,42.882617,74.578492,70000001066988025
"Talas Daamy, кофейня","улица Жоомарта Боконбаева, 183",,4.7,662.0,,42.867995,74.584808,70000001102695400
"Capito, кофейня","проспект Манаса, 49",,4.9,11464.0,,42.873687,74.588293,70000001099886228
"Kulikov, кофейня","улица Сыдыкова, 156",,4.7,20764.0,,42.873523,74.595522,70000001066325484
Кофейня,"улица Бейшеналиевой, 42а",,1.0,1.0,,42.876892,74.571492,70000001106097909
"Giraffe Coffee, кофейня","улица Льва Толстого, 19/5",,4.5,3142.0,,42.866006,74.569192,70000001100208859
"Positano Coffee, итальянская кофейня","улица Турусбекова, 109/3",,4.3,186.0,,42.879918,74.586043,70000001027112042
"Sierra, кофейня","проспект Манаса, 57/1",,4.3,1104.0,,42.874564,74.588491,70000001019350197
"Zerno coffee, кофейня","проспект Чуй, 230",,5.0,1.0,,42.877112,74.563323,70000001110746220
"Anara Sweets, кофейня","улица Фрунзе, 571",,4.6,88.0,,42.882572,74.580477,70000001083784028
"Ant`s, кофейня городского типа","проспект Манаса, 16",,4.6,2921.0,,42.86972,74.58728,70000001056017260
"Vanilla Sky, кофейня","улица Насирдина Исанова, 25а",,4.4,601.0,,42.870224,74.59157,70000001020205770
"Zerno, кофейня","улица Турусбекова, 31",,4.6,1331.0,,42.869369,74.584422,70000001065995986
"Skyberry, кофейня","улица Токтогула, 125/1",,4.7,2251.0,,42.87269,74.597351,70000001040380582
"Kölökö, кофейня","улица Абдумомунова, 229",,4.7,721.0,,42.880275,74.59408,70000001080161489
"Giraffe Coffee, кофейня","улица Абдумомунова, 282",,4.5,3142.0,,42.88014,74.590944,70000001102784505
"Capito, кофейня","улица Насирдина Исанова, 41",,4.8,11464.0,,42.871595,74.591423,70000001089498108
"Tucano Coffee, кофейня","улица Турусбекова, 109/3",,4.3,201.0,,42.879747,74.586477,70000001029997023
"Бублик, кофейня","улица Тоголок Молдо, 5/1",,4.4,4001.0,,42.873571,74.596017,70000001020095176
"Bulcoff, пекарня","проспект Манаса, 61",,4.6,183.0,,42.878594,74.589001,70000001052345817
"Flask coffeе, кофейня","улица Насирдина Исанова, 37/1",,4.6,289.0,,42.870775,74.591344,70000001047956155
"Көпөлөк, кофейня","Московская улица, 195",,,,,42.870689,74.581856,70000001113548116
Drippa,"улица Абдумомунова, 249",,3.3,882.0,,42.880484,74.591223,70000001094140412
"Coffee Lunch, кофейня","улица Калыка Акиева, 111",,4.0,2.0,,42.879338,74.578188,70000001053175525
Кафе-бар,"проспект Манаса, 28",,5.0,18.0,,42.872187,74.587667,70000001113769805
"Capito, кофейня","Киевская улица, 148",,4.7,11464.0,,42.874826,74.590376,70000001079588720
"Giraffe Coffee, кофейня","проспект Манаса, 40",,4.2,3142.0,,42.875574,74.588001,70000001104975095
"Caprize coffee & bakkery, кофейня","улица Тимирязева, 118",,3.6,8.0,,42.882301,74.57995,70000001094596415
"Mono, кофейня","улица Рыскулова, 79Б",,4.5,87.0,,42.878912,74.594946,70000001101690737
"Кофемания, кофейная лавка","проспект Манаса, 40",,4.5,402.0,,42.875477,74.587077,70000001046269194
"Биг байт, кофейня","улица Фрунзе, 551",,4.4,48.0,,42.882066,74.584658,70000001034354218
"White Night, кофейня","улица Орозбекова, 19",,4.5,246.0,,42.868522,74.602791,70000001089205349
"135, кофейня","улица Тоголок Молдо, 6",,4.2,218.0,,42.870109,74.595323,70000001019360478
"Утречкофф, кофейня","улица Тимирязева, 118",,5.0,977.0,,42.882301,74.57995,70000001113204266
"Mada sweets, кофейня","улица Насирдина Исанова, 102",,4.2,78.0,,42.878309,74.591671,70000001036589258
Zebra Coffee,"Киевская улица, 128",,4.8,605.0,,42.874895,74.593819,70000001096768344
"Capito, кофейня","улица Абдумомунова, 221",,4.8,11464.0,,42.88025,74.594849,70000001080732571
"Giraffe Coffee, кофейня","Киевская улица, 148",,4.6,3142.0,,42.874327,74.590445,70000001100209610
"Ant`s, кофейня городского типа","бульвар Эркиндик, 35",,4.7,2921.0,,42.872778,74.607041,70000001046139727
"Espressolab, кофейня","проспект Чуй, 187а",,4.4,237.0,,42.876647,74.608528,70000001103920803
"По-Тайски, кофейня","улица Сыдыкова, 123",,4.7,127.0,,42.874126,74.594096,70000001079185717
"Билал Фуд, пункт быстрого питания","проспект Чуй, 206",,4.3,172.0,,42.877372,74.56658,70000001041455094
"Oasis, пункт фастфуда","улица Калыка Акиева, 66",,2.2,3046.0,,42.873927,74.577329,70000001033062372
"KFC, ресторан быстрого обслуживания","улица Калыка Акиева, 72/1",,3.7,4804.0,,42.876806,74.577433,70000001090677338
"Dodo Pizza, пиццерия","проспект Чуй, 186/1",,5.0,5428.0,,42.876807,74.574952,70000001113469156
"Эки Дос, пункт быстрого питания","проспект Чуй, 226",,2.7,3424.0,,42.87742,74.565409,70000001032480298
Sonun Burger,"Московская улица, 252",,4.1,68.0,,42.870885,74.571544,70000001094152000
"Суши жейм, пункт фастфуда","Киевская улица, 248",,4.4,786.0,,42.875814,74.57369,70000001101151277
"Begemot, киоск фастфудной продукции","улица Калыка Акиева, 66",,3.1,1134.0,,42.873606,74.577297,70000001032376260
"Курочка рядом, ​киоск фастфуда","проспект Чуй, 226",,3.2,488.0,,42.8774,74.565738,70000001083402714
"Али Бургер, пункт быстрого питания","улица Калыка Акиева, 72/2",,3.1,4856.0,,42.876525,74.577425,70000001099095990
"Эки Дос, пункт быстрого питания","улица Кулиева, 31",,2.7,3424.0,,42.877981,74.568759,70000001043829337
Wok lagman,"проспект Чуй, 226",,3.7,5262.0,,42.877419,74.564685,70000001100567680
"Jax pizza, кафе фастфуда","улица Калыка Акиева, 57",,3.3,578.0,,42.873524,74.577698,70000001057222917
"Инлаваш, ресторан быстрого питания","проспект Чуй, 273",,2.6,1157.0,,42.877446,74.573728,70000001038333877
"Араб Донер, пункт быстрого питания","проспект Чуй, 226",,3.3,15.0,,42.877405,74.565659,70000001103097075
"Daamduu, пункт фастфуда","улица Кулиева, 31",,1.9,1599.0,,42.877947,74.568757,70000001057858431
"Китчен, пункт быстрого питания","улица Калыка Акиева, 72/1",,4.5,56.0,,42.876776,74.5775,70000001101582341
Ахмад,"проспект Чуй, 279",,4.7,15.0,,42.877522,74.571052,70000001112763743
"Max burger, точка фастфуда","проспект Чуй, 271",,3.3,1095.0,,42.877402,74.574871,70000001081852424
Али Бургер,"улица Юлиуса Фучика, 3",,4.6,4856.0,,42.878423,74.561282,70000001110576979
"KFC, ресторан быстрого обслуживания","проспект Дэн Сяопина, 3а",,4.3,4804.0,,42.878183,74.558208,70000001109629087
"Чыгдан, киоск быстрого питания","улица Бейшеналиевой, 44",,2.9,3.0,,42.877505,74.571519,70000001031653579
"Эки Дос, пункт быстрого питания","проспект Чуй, 226",,2.6,3424.0,,42.877445,74.564999,70000001045562395
"Аль-Хаят, пункт быстрого питания","улица Бейшеналиевой, 36",,4.2,20.0,,42.875046,74.571265,70000001088018405
"2 Тандыра, кафе быстрого питания","улица Токтогула, 232",,4.1,43.0,,42.873163,74.578223,70000001060681384
Билал Fried Chicken,"улица Кулиева, 24",,4.4,6.0,,42.878364,74.568397,70000001111855459
"Инлаваш, ресторан быстрого питания","улица Калыка Акиева, 66",,2.6,1157.0,,42.873841,74.577321,70000001063254795
"ФСБиш, пункт быстрого питания","улица Токтогула, 232",,4.1,195.0,,42.873162,74.578256,70000001044366644
"Крылышки НСИ, пункт быстрого питания","улица Кулиева, 13/1",,4.3,5.0,,42.874273,74.567946,70000001082591543
"Saffran, кафе быстрого питания","Киевская улица, 222",,3.9,151.0,,42.8756,74.577454,70000001089234695
"Наш секретный ингредиент, пункт фастфуда","проспект Чуй, 204/1а",,4.0,120.0,,42.876517,74.568107,70000001092506948
Пункт быстрого питания,"улица Токтогула, 257/5",,4.0,3.0,,42.873934,74.571001,70000001112176111
"Дилбар Фуд, пункт быстрого питания","улица Кулиева, 29",,3.3,5.0,,42.87763,74.568755,70000001069497996
"Kanat Сity, пункт быстрого питания","Киевская улица, 260/2",,5.0,48.0,,42.875395,74.568717,70000001112885329
"Ихсан food, точка быстрого питания","улица Рыскулова, 105/2",,3.6,12.0,,42.880041,74.572332,70000001096823928
"Наш секретный ингредиент, пункт быстрого питания","улица Бейшеналиевой, 36/1",,5.0,3.0,,42.875355,74.570702,70000001087719294
Wok lagman,"улица Льва Толстого, 19/5",,3.4,5262.0,,42.865944,74.569195,70000001100567838
"Крылышки №1, пункт фастфуда","улица Кулиева, 24",,4.3,5.0,,42.878304,74.568392,70000001059212292
Doner na Chuee,"проспект Чуй, 162",,3.4,326.0,,42.876233,74.589355,70000001110680452
"ФудЗилла, точка быстрого питания","бульвар Молодой Гвардии, 2а",,4.5,138.0,,42.868515,74.573882,70000001105322248
Пункт быстрого питания,"Киевская улица, 262/1",,,,,42.874767,74.569232,70000001112176114
"Kanat Сity, пункт быстрого питания","улица Бейшеналиевой, 36/1",,5.0,48.0,,42.875355,74.570702,70000001112886694
"Беш манты, кафе быстрого питания","улица Льва Толстого, 19/5",,4.4,2581.0,,42.865891,74.569198,70000001102862348
"Аль-Хаят, пункт быстрого питания","улица Токтогула, 257/2 киоск",,4.4,20.0,,42.873849,74.570851,70000001050310607
Пункт быстрого питания,"улица Бейшеналиевой, 22/1",,,,,42.874014,74.571253,70000001088017789
"Мисс Курочка, точка быстрого питания","Московская улица, 208",,4.0,56.0,,42.870529,74.578719,70000001109954548
"Кибо, пункт быстрого питания","улица Юлиуса Фучика, 20Б",,4.5,6.0,,42.875947,74.563772,70000001101710325
Wok lagman,"улица Тимирязева, 118",,3.2,5262.0,,42.882313,74.579699,70000001098710129
"Kanat Сity, пункт быстрого питания","проспект Чуй, 202а",,,,,42.877244,74.570697,70000001112883574
Wasabi sushi,"улица Жоомарта Боконбаева, 183",,4.8,2735.0,,42.868011,74.584511,70000001067355032
"Dodo Pizza, пиццерия","проспект Манаса, 7",,4.8,5428.0,,42.868547,74.587845,70000001088300884
"Dodo Pizza, пиццерия","Киевская улица, 148",,4.5,5428.0,,42.874462,74.59003,70000001102911818
"New York Pizza, пиццерия","проспект Манаса, 57",,4.5,184.0,,42.874729,74.588397,70000001093559223
"Love is sushi, служба доставки","улица Жумабека, 233",,2.6,128.0,,42.883496,74.581861,70000001086796230
"Dodo Pizza, пиццерия","улица Шевченко, 80",,4.6,5428.0,,42.875359,74.582585,70000001038826835
"Dolce Vita, пиццерия","улица Насирдина Исанова, 80",,4.0,239.0,,42.874756,74.591296,70000001045035197
Империя,"Киевская улица, 148",,3.0,9951.0,,42.874877,74.590655,70000001019815006
Масахиро,"проспект Манаса, 7",,4.9,12139.0,,42.868279,74.587821,70000001101566278
Империя,"улица Молодежный парк, 1к",,4.5,9951.0,,42.892218,74.572621,70000001086960581
"Fresh box sushi, суши-бар","проспект Чуй, 150а",,3.7,7919.0,,42.875919,74.591944,70000001022911712
Шаурма на углях,"проспект Дэн Сяопина, 34",,1.8,348.0,,42.876383,74.551085,70000001092714311
Масахиро,"улица Тоголок Молдо, 3а",,4.7,12139.0,,42.872636,74.596308,70000001110069254
Империя,"проспект Чуй, 114",,3.1,9951.0,,42.875785,74.605367,70000001019815561
Империя,"проспект Чынгыза Айтматова, 3",,3.4,9951.0,,42.855623,74.584768,70000001037458275
"Dodo Pizza, пиццерия","проспект Чынгыза Айтматова, 3",,4.7,5428.0,,42.855661,74.584984,70000001096830559
"Суши Рай, суши-бар","улица Тоголок Молдо, 60а",,4.2,117.0,,42.882708,74.596199,70000001047839418
"Ketch up burger's, пункт быстрого питания","улица Жумабека, 201а",,,,,42.882917,74.590614,70000001112105501
"Fresh box sushi, суши-бар","проспект Чынгыза Айтматова, 3",,3.6,7919.0,,42.85601,74.585314,70000001037101310
"Dodo Pizza, пиццерия","улица Шопокова, 101/1",,4.7,5428.0,,42.872494,74.615376,70000001021154667
"Dodo Pizza, пиццерия","улица Максима Горького, 124",,4.5,5428.0,,42.856747,74.610023,70000001044550820
Империя,"улица Исы Ахунбаева, 173",,3.6,9951.0,,42.843698,74.589259,70000001019815450
Империя,"проспект Чуй, 92",,3.4,9951.0,,42.874821,74.61496,70000001040583738
"Dodo Pizza, пиццерия","проспект Чынгыза Айтматова, 57",,4.6,5428.0,,42.843069,74.585651,70000001094598734
"Dodo Pizza, пиццерия","улица Тыналиева, 1/3 блок 2",,4.8,5428.0,,42.837716,74.568458,70000001101152817
Масахиро,"проспект Чуй, 92",,4.8,12139.0,,42.874495,74.614038,70000001041710074
Империя,"улица Байтик баатыра, 98",,2.8,9951.0,,42.857163,74.609893,70000001019814802
Масахиро,"улица Тыналиева, 1/3 блок 2",,4.8,12139.0,,42.837632,74.568464,70000001094804503
"Сушико, точка быстрого питания","Кокчетавская улица, 341/1",,4.3,14.0,,42.900097,74.574409,70000001104980560
"Chefstil, пиццерия","улица Садырбаева, 1/9",,4.9,34.0,,42.852419,74.556636,70000001039101757
Масахиро,"улица Максима Горького, 124",,4.7,12139.0,,42.856769,74.609824,70000001092878233
"La Dolce Vita, пиццерия","улица Юсупа Абдрахманова, 137",,3.8,415.0,,42.8722,74.612055,70000001042798239
Масахиро,"проспект Чуй, 127",,4.9,12139.0,,42.875516,74.622301,70000001109944455
"Миа Пицца, кафе быстрого питания","улица Тоголок Молдо, 60г",,5.0,2.0,,42.882283,74.596175,70000001089504476
"La Dolce Vita, пиццерия","улица Исы Ахунбаева, 116/1",,3.9,415.0,,42.843169,74.590375,70000001019331818
"Dodo Pizza, пиццерия","проспект Чуй, 32Б",,4.6,5428.0,,42.874516,74.631902,70000001079105188
Империя,"улица Фрунзе, 35",,4.1,9951.0,,42.874579,74.508892,70000001019816002
"Fresh box sushi, суши-бар","улица Шопокова, 91",,4.0,7919.0,,42.876608,74.614903,70000001052602799
Масахиро,"улица Исы Ахунбаева, 92в",,4.8,12139.0,,42.842667,74.608337,70000001065442351
"Jax pizza, кафе фастфуда","улица Исы Ахунбаева, 105",,3.4,578.0,,42.843144,74.607855,70000001039518059
"Embassy, ресторан","проспект Чынгыза Айтматова, 299/4",,4.9,168.0,,42.824655,74.584422,70000001066225897
"Crazy Brothers, пиццерия","улица Байтик баатыра, 44",,4.2,59.0,,42.851463,74.609418,70000001042623793
"Dodo Pizza, пиццерия","улица Фрунзе, 37",,4.8,5428.0,,42.874497,74.508285,70000001061158684
Империя,"проспект Чынгыза Айтматова, 299в",,3.5,9951.0,,42.828963,74.583488,70000001032471386
"Sushi Line, суши-бар","Фруктовая улица, 69а",,4.9,34.0,,42.858823,74.536817,70000001106060747
"Dodo Pizza, пиццерия","микрорайон Кок-Жар, 5/1",,4.7,5428.0,,42.849837,74.633776,70000001093029841
